row_id,id,event_date,firearm_name,range_name,rounds_fired,ammo_description,notes,created,modified
253,01KWG95NSJH6B3VG76GEY7G3W3,2019-04-19 20:05:22.0979248,Remington 597,SPFGA,50,50 rounds assorted,"ORPS trial run. Had about 5 Fail-to-Fire with the Sterling Cross. Switched to M22, had only 1 FTF.  Ordered a new Volquartsen hammer.",2026-07-02 02:05:22.0986616+00:00,2026-07-02 02:05:22.0986634+00:00
254,01KWG95NSKABZBAVD6C2VM9NN0,2019-04-22 20:05:22.0988914,Remington 597,SPFGA,107,Sterling Cross,Sterling Cross ammo.  Zero to 50m.  Chrony the rounds.  No Fail-to-fire this time.,2026-07-02 02:05:22.0997536+00:00,2026-07-02 02:05:22.0997554+00:00
255,01KWG95NSMZSBPDJCY7SMR9K9V,2019-05-01 20:05:22.0999862,G17,Phoenix,200,124gr CamPro; 4.5gr HP-38,Draw and fire at 24'. Tried controlled pairs.  Had a downward flinch.,2026-07-02 02:05:22.1007056+00:00,2026-07-02 02:05:22.1007076+00:00
256,01KWG95NSNE45KZVZDA5R1HVVP,2019-05-08 20:05:22.1009536,Remington 597,SPFGA,77,Sterling Cross,"Sterling Cross ammo.  Zero to 50m. Shooting at 100m:  +7.25MOA.  Looks like I could have used -1.5MOA on windage, but it was a bit windy.",2026-07-02 02:05:22.101731+00:00,2026-07-02 02:05:22.1017327+00:00
257,01KWG95NSP8ZGVZ85KFF1JSDZ9,2019-05-19 20:05:22.1019749,Remington 597,SPFGA,20,CCI SV,"",2026-07-02 02:05:22.1027567+00:00,2026-07-02 02:05:22.1027584+00:00
258,01KWG95NSRQ4X64JTSN20T4H6Q,2019-05-08 20:05:22.1029878,Remington 597,SPFGA,20,Winchester M22,"Some test shoots to compare the zero  after shooting the Sterling Cross.  Much bigger groups, and shot higher.",2026-07-02 02:05:22.104144+00:00,2026-07-02 02:05:22.1041465+00:00
259,01KWG95NSSTZ6ED8B20TGBSMDV,2019-05-11 20:05:22.1043984,Remington 597,SPFGA,60,Sterling Cross,May ORPS match.  Scored 160/500.,2026-07-02 02:05:22.1052903+00:00,2026-07-02 02:05:22.1052922+00:00
260,01KWG95NSSTZ6ED8B20TGBSME3,2019-05-19 20:05:22.1055326,MDI SLR,SPFGA,70,"55gr CamPro, 24.8gr H4895",rezeroing at 100m,2026-07-02 02:05:22.1058521+00:00,2026-07-02 02:05:22.1058537+00:00
261,01KWG95NSVPXA95AT4MJP9C7GG,2019-05-19 20:05:22.1060979,Remington 597,SPFGA,40,Sterling Cross,DOPE for 100m,2026-07-02 02:05:22.1070077+00:00,2026-07-02 02:05:22.1070096+00:00
262,01KWG95NSW227NNY4EYM58J4DW,2019-05-19 20:05:22.1075669,Remington 597,SPFGA,20,Winchester M22,DOPE for 100m,2026-07-02 02:05:22.1085514+00:00,2026-07-02 02:05:22.1085532+00:00
263,01KWG95NSXDFT4GKYTT7EVB892,2019-05-25 20:05:22.1088099,RPRimfire,SPFGA,100,Various .22LR,"Zeroing scope, trying out different ammo: Winchester M22, Sterling Cross, and CCI.  All seemed to be equal/consistent.Failure to extract issues.  Cleaned the bolt & chamber afterwards.",2026-07-02 02:05:22.1091513+00:00,2026-07-02 02:05:22.109153+00:00
264,01KWG95NSXDFT4GKYTT7EVB89A,2019-05-27 20:05:22.1093858,RPRimfire,Phoenix,120,Remington Gold Jacket stuff,Checking for extraction issues.  Not a single problem.,2026-07-02 02:05:22.109711+00:00,2026-07-02 02:05:22.1097126+00:00
265,01KWG95NSY9XXWKFQ21H5AEHB5,2019-06-13 20:05:22.1099419,G17,Phoenix,150,124gr CamPro; 4.5gr HP-38,"",2026-07-02 02:05:22.1105668+00:00,2026-07-02 02:05:22.1105685+00:00
266,01KWG95NSZH9Q6RMCHWTJ3HAMJ,2019-06-09 20:05:22.1107818,STAG-10,CHAS,109,"147g CamPro, 44.8gr IMR 4895","",2026-07-02 02:05:22.11112+00:00,2026-07-02 02:05:22.1111215+00:00
267,01KWG95NT04FVEY4SFST0H2FH5,2019-06-09 20:05:22.1113243,G41,CHAS,154,"230gr CamPro, 6.0gr 800-X","",2026-07-02 02:05:22.1125524+00:00,2026-07-02 02:05:22.1125541+00:00
268,01KWG95NT10B01EC9FBWMJZ894,2019-06-22 20:05:22.1128688,Remington 597,SPFGA,52,Sterling Cross,ORPS,2026-07-02 02:05:22.1138754+00:00,2026-07-02 02:05:22.1138772+00:00
